battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
83.17,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-24T11:59:00,256GB,19960,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20HES3H21E,Microsoft Windows 11 Pro 10.0.26100,16,PF0X6GD7,LENOVO_MT_20HE_BU_Think_FM_ThinkPad T470,Yes Detected
78.32,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-24T11:54:00,256GB,18750,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L50011US,Microsoft Windows 11 Pro 10.0.26100,16,PF11F4SV,LENOVO_MT_20L5_BU_Think_FM_ThinkPad T480,Not Detected
94.16,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz (2C/4T),2025-01-24T10:02:00,256GB,45990,Intel(R) HD Graphics 520 [1920x1080],LENOVO,20JNS05Y00,Microsoft Windows 11 Pro 10.0.26100,16,PF11BFP0,LENOVO_MT_20JN_BU_Think_FM_ThinkPad T470 W10DG,Not Detected
83.31,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-23T16:48:00,256GB,40070,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20KES4FX43,Microsoft Windows 11 Pro 10.0.26100,16,PC1BLM33,LENOVO_MT_20KE_BU_Think_FM_ThinkPad X280,Yes Detected
83.31,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-23T16:06:00,512GB,40070,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20KES4FX43,Microsoft Windows 11 Pro 10.0.26100,16,PC1BLM33,LENOVO_MT_20KE_BU_Think_FM_ThinkPad X280,Yes Detected
86.57,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz (6C/12T),2025-01-23T16:02:00,512GB,69600,NVIDIA GeForce GTX 1650 with Max-Q Design [Not Active]; Intel(R) UHD Graphics 630 [1920x1080],LENOVO,20QV000DUS,Microsoft Windows 11 Pro 10.0.26100,32,R90XA0HP,LENOVO_MT_20QV_BU_Think_FM_ThinkPad X1 Extreme 2nd,Not Detected
101.96,12th Gen Intel(R) Core(TM) i5-1235U (10C/12T),2025-01-23T12:08:00,512GB,45880,Intel(R) Iris(R) Xe Graphics [1920x1080],LENOVO,82RK,Microsoft Windows 11 Home 10.0.26100,16,PF4J5RVP,LENOVO_MT_82RK_BU_idea_FM_IdeaPad 3 15IAU7,Not Detected
101.96,12th Gen Intel(R) Core(TM) i5-1235U (10C/12T),2025-01-23T10:59:00,512GB,45880,Intel(R) UHD Graphics [1920x1080],LENOVO,82RK,Microsoft Windows 11 Home 10.0.26100,8,PF4J5RVP,LENOVO_MT_82RK_BU_idea_FM_IdeaPad 3 15IAU7,Not Detected
87.65,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-22T17:07:00,256GB,44710,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QES30E00,Microsoft Windows 11 Pro 10.0.26100,16,PF21T018,LENOVO_MT_20QE_BU_Think_FM_ThinkPad X1 Carbon 7th,Not Detected
86.44,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T15:42:00,256GB,38900,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1JTKS2,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
76.21,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T15:11:00,256GB,34850,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1GTAG4,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
75.6,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T14:41:00,256GB,34020,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1F7CU0,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
89.39,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T14:28:00,256GB,40880,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1NS0YR,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
80.78,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T14:08:00,256GB,36350,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1H15C0,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
82.73,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T14:02:00,256GB,37230,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1FHKHW,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
77.8,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-22T13:43:00,256GB,35010,Microsoft Basic Display Adapter [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1GT7GB,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
95,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-22T12:38:00,256GB,39900,Intel(R) UHD Graphics 620 [1366x768],Dell Inc.,Latitude 7290,Microsoft Windows 11 Pro 10.0.26100,16,J55P0Z2,081A,Not Detected
101.81,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2025-01-22T12:24:00,512GB,53450,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.22631,16,PW07TJ65,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,Yes Detected
86,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-22T10:05:00,256GB,43860,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S25N00,Microsoft Windows 11 Pro 10.0.22631,16,PF273ZFN,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
81.43,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-21T15:13:00,256GB,46430,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L8S46J00,Microsoft Windows 11 Pro 10.0.22631,16,PC10JEW6,LENOVO_MT_20L8_BU_Think_FM_ThinkPad T480s,Not Detected
78.9,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-21T13:47:00,256GB,44990,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L8S46J00,Microsoft Windows 11 Pro 10.0.22631,8,PC10JEXK,LENOVO_MT_20L8_BU_Think_FM_ThinkPad T480s,Not Detected
87.81,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz (4C/8T),2025-01-21T13:37:00,256GB,50050,Microsoft Basic Display Adapter [1920x1080],LENOVO,20T00026US,Microsoft Windows 11 Pro 10.0.26100,16,PC1RSC1K,LENOVO_MT_20T0_BU_Think_FM_ThinkPad T14s Gen 1,Not Detected
77.35,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2025-01-21T13:05:00,256GB,39450,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N20032US,Microsoft Windows 11 Pro 10.0.26100,16,PF1BM1SH,LENOVO_MT_20N2_BU_Think_FM_ThinkPad T490,Not Detected
92.17,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-21T10:39:00,256GB,46500,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.26100,16,PF223X29,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
82.74,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-21T10:34:00,256GB,41740,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.26100,16,PF223BN1,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
99.98,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-21T10:31:00,256GB,50990,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QES30E00,Microsoft Windows 11 Pro 10.0.26100,16,PF1C4PYP,LENOVO_MT_20QE_BU_Think_FM_ThinkPad X1 Carbon 7th,Not Detected
91.65,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-01-21T10:25:00,512GB,52260,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20KGS8GB23,Microsoft Windows 11 Pro 10.0.22631,16,PF1P3F6Q,LENOVO_MT_20KG_BU_Think_FM_ThinkPad X1 Carbon 6th,Yes Detected
100.53,12th Gen Intel(R) Core(TM) i7-12700H (14C/20T),2025-01-21T09:28:00,1TB,75400,Intel(R) Arc(TM) A370M Graphics [Not Active]; Intel(R) Iris(R) Xe Graphics [2560x1600],LENOVO,82VB,Microsoft Windows 11 Home 10.0.26100,16,YX04MZ2D,LENOVO_MT_82VB_BU_idea_FM_Slim 7 16IAH7,Yes Detected
100,AMD Ryzen 5 7530U with Radeon Graphics (6C/12T),2025-01-20T16:03:00,512GB,59000,AMD Radeon (TM) Graphics [1920x1200],LENOVO,83B2,Microsoft Windows 11 Home 10.0.26100,8,MP2KC5J0,LENOVO_MT_83B2_BU_idea_FM_Yoga 6 13ABR8,Yes Detected
87.32,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-20T15:36:00,512GB,44540,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1T21G,Microsoft Windows 11 Pro 10.0.22631,16,PF2AAKTG,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Yes Detected
81.7,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-20T15:28:00,256GB,41220,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.22631,16,PF224EL3,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
89.45,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-20T13:34:00,256GB,45130,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.26100,16,PF22493C,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
85.96,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-20T13:27:00,256GB,43840,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S25N00,Microsoft Windows 11 Pro 10.0.26100,16,PF273ZFN,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
81.76,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-20T11:37:00,256GB,41250,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.26100,16,PF224EL3,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
89.86,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-20T11:24:00,512GB,45840,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QES30E00,Microsoft Windows 11 Pro 10.0.26100,16,PF26EEM0,LENOVO_MT_20QE_BU_Think_FM_ThinkPad X1 Carbon 7th,Not Detected
88.8,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz (4C/8T),2025-01-17T17:25:00,512GB,45290,Intel(R) Iris(R) Xe Graphics [1920x1080],LENOVO,20W1SCUC00,Microsoft Windows 11 Pro 10.0.26100,16,PF32S63L,LENOVO_MT_20W1_BU_Think_FM_ThinkPad T14 Gen 2i,Not Detected
89.05,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-17T17:01:00,512GB,42300,Intel(R) UHD Graphics 620 [1366x768],LENOVO,20L6S0WU07,Microsoft Windows 11 Pro 10.0.22631,16,PF1S2DGJ,LENOVO_MT_20L6_BU_Think_FM_ThinkPad T480,Not Detected
73.6,Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz (6C/12T),2025-01-17T16:48:00,1TB,41211,Intel(R) UHD Graphics 630 [1920x1080]; NVIDIA Quadro P2000 [Not Active],Dell Inc.,Precision 5530,Microsoft Windows 11 Pro 10.0.26100,32,F6P62X2,087D,Not Detected
83.85,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-17T16:32:00,256GB,42300,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S8SJ00,Microsoft Windows 11 Pro 10.0.26100,24,PF222CKQ,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
89.78,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz (4C/8T),2025-01-17T16:18:00,512GB,45790,Intel(R) Iris(R) Xe Graphics [1920x1080],LENOVO,20W1SCUC00,Microsoft Windows 11 Pro 10.0.26100,16,PF32SBGN,LENOVO_MT_20W1_BU_Think_FM_ThinkPad T14 Gen 2i,Not Detected
81.3,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2025-01-17T15:05:00,512GB,46340,Intel(R) UHD Graphics [1920x1080],LENOVO,20T1S2BC00,Microsoft Windows 11 Pro 10.0.22631,16,PC1QAZR1,LENOVO_MT_20T1_BU_Think_FM_ThinkPad T14s Gen 1,Yes Detected
94.68,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-17T14:38:00,256GB,44990,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1CSTB8,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
80.37,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-17T14:33:00,256GB,38190,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP19H2QV,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
67.47,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-01-17T14:33:00,512GB,65447,NVIDIA Quadro T2000 [1920x1080],Dell Inc.,Precision 7540,Microsoft Windows 11 Pro 10.0.26100,32,37WX533,0926,Not Detected
83.92,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-01-17T14:27:00,512GB,81407,NVIDIA Quadro T2000 [1920x1080],Dell Inc.,Precision 7540,Microsoft Windows 11 Pro 10.0.26100,32,6DRVK63,0926,Not Detected
85.94,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-17T14:23:00,256GB,40840,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1DRK11,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
62.02,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-01-17T14:21:00,512GB,60158,NVIDIA Quadro T2000 [1920x1080],Dell Inc.,Precision 7540,Microsoft Windows 11 Pro 10.0.26100,32,1T72L63,0926,Not Detected
88.99,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-01-17T14:17:00,512GB,86321,NVIDIA Quadro T2000 [1920x1080],Dell Inc.,Precision 7540,Microsoft Windows 11 Pro 10.0.26100,32,G0KGQ13,0926,Not Detected
83.42,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-17T14:15:00,256GB,39640,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1CSTAC,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
NaN,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz (6C/12T),2025-01-17T14:14:00,256GB,NaN,Intel(R) UHD Graphics 630 [3840x2160],HP,HP EliteDesk 800 G6 Desktop Mini PC,Microsoft Windows 11 Pro 10.0.26100,16,MXL1233DGL,2G4T8EC#ABA,Not Detected
88.99,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-01-17T13:45:00,512GB,86321,Microsoft Basic Display Adapter [1920x1080],Dell Inc.,Precision 7540,Microsoft Windows 11 Pro 10.0.26100,32,6TJGQ13,0926,Not Detected
NaN,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz (8C/16T),2025-01-17T13:21:00,256GB,NaN,Intel(R) UHD Graphics 630 [3840x2160],HP,HP EliteDesk 800 G6 Desktop Mini PC,Microsoft Windows 11 Pro 10.0.26100,16,MXL1193WYR,2G4U6EC#ABA,Not Detected
85.44,Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz (2C/4T),2025-01-17T12:52:00,256GB,40600,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TM00,Microsoft Windows 11 Pro 10.0.26100,8,MP1CCHB5,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
89.98,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-17T12:32:00,256GB,42760,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1DKA93,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
93.41,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-16T15:40:00,256GB,44390,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1DKAA1,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
87.69,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-16T15:14:00,256GB,39460,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1F793Z,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
91.2,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-16T14:50:00,256GB,43340,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1DRJX6,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
87.54,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-16T14:42:00,256GB,41600,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1EHSDC,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
78.69,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-16T14:29:00,256GB,35410,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1LA09N,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
86.64,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-16T14:17:00,256GB,39620,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1NS0YZ,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
94.24,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-16T14:09:00,256GB,42410,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1RMGKQ,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
87.51,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-01-16T14:07:00,256GB,39380,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20LXS3LJ00,Microsoft Windows 11 Pro 10.0.26100,8,PF1F76YE,LENOVO_MT_20LX_BU_Think_FM_ThinkPad L580,Not Detected
88.12,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-16T13:37:00,512GB,44950,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QES3260Z,Microsoft Windows 11 Pro 10.0.22631,16,PF25MAYS,LENOVO_MT_20QE_BU_Think_FM_ThinkPad X1 Carbon 7th,Yes Detected
75.04,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz (2C/4T),2025-01-16T13:31:00,256GB,35660,Intel(R) HD Graphics 620 [1920x1080],LENOVO,20J9S0TL00,Microsoft Windows 11 Pro 10.0.26100,8,MP1DRJZZ,LENOVO_MT_20J9_BU_Think_FM_ThinkPad L570,Not Detected
78.71,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-01-16T10:38:00,256GB,42550,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LES3481E,Microsoft Windows 11 Pro 10.0.26100,16,R90TDCEX,LENOVO_MT_20LE_BU_Think_FM_ThinkPad X1 Yoga 3rd,Yes Detected
94.14,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz (4C/8T),2025-01-16T10:34:00,256GB,58338,Intel(R) Iris(R) Xe Graphics [1920x1080],Dell Inc.,Latitude 7420,Microsoft Windows 11 Pro 10.0.26100,16,20N0LN3,0A36,Yes Detected
100,AMD Ryzen 5 7530U with Radeon Graphics (6C/12T),2025-01-16T09:55:00,512GB,59000,AMD Radeon (TM) Graphics [1920x1200],LENOVO,83B2,Microsoft Windows 11 Home 10.0.26100,16,MP2L04Z9,LENOVO_MT_83B2_BU_idea_FM_Yoga 6 13ABR8,Yes Detected
85.25,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-01-16T09:44:00,256GB,43457,Intel(R) UHD Graphics [1920x1080],Dell Inc.,Latitude 7310,Microsoft Windows 11 Pro 10.0.22631,16,3TX5Q73,09BD,Yes Detected
97.31,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2025-01-15T16:18:00,512GB,51090,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07TJ5K,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,Yes Detected
101.94,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-15T15:33:00,512GB,51990,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1T21G,Microsoft Windows 11 Pro 10.0.26100,16,PF21006B,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Yes Detected
100,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz (2C/4T),2025-01-15T15:19:00,256GB,42920,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude E7270,Microsoft Windows 10 Pro 10.0.19045,16,2MPVRF2,06DB,Not Detected
72.11,Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (4C/8T),2025-01-15T15:12:00,256GB,41100,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L8S46J00,Microsoft Windows 11 Pro 10.0.22631,16,PC10404N,LENOVO_MT_20L8_BU_Think_FM_ThinkPad T480s,Not Detected
100,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz (2C/4T),2025-01-15T14:37:00,256GB,42920,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude E7270,Microsoft Windows 10 Pro 10.0.19045,16,GZWHQF2,06DB,Not Detected
91.86,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-15T14:26:00,256GB,46860,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QD0009US,Microsoft Windows 11 Pro 10.0.26100,16,MJ0B2A7W,LENOVO_MT_20QD_BU_Think_FM_ThinkPad X1 Carbon 7th,Not Detected
91.86,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-15T13:59:00,256GB,46860,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QD0009US,Microsoft Windows 11 Pro 10.0.26100,16,MJ0B2A7W,LENOVO_MT_20QD_BU_Think_FM_ThinkPad X1 Carbon 7th,Not Detected
87.28,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-01-15T13:38:00,512GB,44520,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QGS1T21G,Microsoft Windows 11 Pro 10.0.26100,16,PF27RYCE,LENOVO_MT_20QG_BU_Think_FM_ThinkPad X1 Yoga 4th,Yes Detected
96.96,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2025-01-15T12:17:00,512GB,49460,Intel(R) UHD Graphics [2560x1440],LENOVO,20U9002NUS,Microsoft Windows 11 Pro 10.0.22631,16,MJ0ERJLJ,LENOVO_MT_20U9_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Not Detected
104.13,AMD Ryzen 5 7520U with Radeon Graphics (4C/8T),2025-01-15T11:58:00,256GB,48940,AMD Radeon(TM) 610M [1920x1080],LENOVO,82XQ,Microsoft Windows 11 Home 10.0.26100,8,PF4QQAZQ,LENOVO_MT_82XQ_BU_idea_FM_IdeaPad Slim 3 15AMN8,Not Detected
100,13th Gen Intel(R) Core(TM) i5-13420H (8C/12T),2025-01-15T11:47:00,512GB,60000,NVIDIA GeForce RTX 3050 6GB Laptop GPU [Not Active]; Intel(R) UHD Graphics [1920x1080],LENOVO,82XV,Microsoft Windows 11 Home 10.0.26100,32,MP2KX8HE,LENOVO_MT_82XV_BU_idea_FM_LOQ 15IRH8,Not Detected
100,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz (2C/4T),2025-01-15T11:34:00,256GB,42920,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude E7270,Microsoft Windows 10 Pro 10.0.19045,16,FQWN5H2,06DB,Not Detected
91.65,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-01-15T10:45:00,512GB,52260,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20KGS8GB23,Microsoft Windows 11 Pro 10.0.22631,16,PF1P3F6Q,LENOVO_MT_20KG_BU_Think_FM_ThinkPad X1 Carbon 6th,Yes Detected
77.88,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-01-15T09:44:00,256GB,46732,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 7300,Microsoft Windows 11 Pro 10.0.22631,16,4P64P13,08E0,Not Detected
71.32,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz (2C/4T),2025-01-14T16:43:00,256GB,26385,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude E7270,Microsoft Windows 10 Pro 10.0.19045,16,4CQHQF2,06DB,Not Detected
100,13th Gen Intel(R) Core(TM) i5-13420H (8C/12T),2025-01-14T10:53:00,512GB,60000,NVIDIA GeForce RTX 3050 6GB Laptop GPU [Not Active]; Intel(R) UHD Graphics [1920x1080],LENOVO,82XV,Microsoft Windows 11 Home 10.0.26100,8,MP2KX8HE,LENOVO_MT_82XV_BU_idea_FM_LOQ 15IRH8,Not Detected
