battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
96.61,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-04T09:44:00,476.94GB,50720,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW079TEY,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
96.23,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T16:51:00,476.94GB,50520,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW079T9X,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
85.13,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2024-12-03T16:39:00,476.94GB,46020,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LES3481E,Microsoft Windows 11 Pro 10.0.26100,16,R90VR9H1,LENOVO_MT_20LE_BU_Think_FM_ThinkPad X1 Yoga 3rd,nan
98.99,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T16:21:00,476.94GB,51970,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06Y8HG,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
99.85,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T16:04:00,476.94GB,52420,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MCYY,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
83.75,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2024-12-03T15:46:00,238.47GB,42250,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S62A09,Microsoft Windows 11 Pro 10.0.26100,16,PF21Z5GW,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,nan
96.17,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T13:28:00,476.94GB,50490,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEKV,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
100.27,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T12:58:00,476.94GB,52640,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MD6V,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
85.44,Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz (8C/16T),2024-12-03T12:34:00,953.86GB,68690,NVIDIA Quadro T2000 with Max-Q Design [Not Active]; Intel(R) UHD Graphics [3840x2160],LENOVO,20TJS20621,Microsoft Windows 11 Pro for Workstations 10.0.22631,32,R9132JR8,LENOVO_MT_20TJ_BU_Think_FM_ThinkPad P1 Gen 3,nan
101.41,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T12:00:00,476.94GB,53240,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEE0,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
101.18,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T11:49:00,476.94GB,53120,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEJ2,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
100.5,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T10:31:00,476.94GB,52760,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW06MEHK,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
101.96,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T10:13:00,476.94GB,53530,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07M0ZE,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
101.24,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-03T09:54:00,476.94GB,53150,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07TJ6W,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
96.63,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-02T16:33:00,476.94GB,50730,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07D58G,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
